ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
infosleuth : semantic integration of information in open and dynamic environments ( experience paper ),infosleuth : agent-based semantic integration of information in open and dynamic systems,r jr.;w bohrer;r brice;a cichocki;j fowler;a helal;v kashyap;t ksiezyk;g martin;m nodine;m rashid;m rusinkiewicz;r shea;c unnikrishnan;a unruh;d woelk,rj bayardo;w bohrer;a cichocki;jj fowler;a,sigmod conference,proc . acm sigmod intÃ¢ ?? l conf . management of,1997,1997.6
multiway spatial joins,multiway spatial joins,n mamoulis;d papadias,n mamoulis;d papadias,acm trans . database syst .,acm transactions on database systems,2001,2001
dynamic service matchmaking among agents in open information environments,dynamic service matchmaking among agents in open information environments;semantic interoperability,k sycara;m klusch;s widoff;j lu,k sycara;m klusch;j lu;s wido,sigmod record,journal acm sigmod record,1999,1997.6
query caching and optimization in distributed mediator systems,monitoring and measuring distributed systems,s adali;k candan;y papakonstantinou;v subrahmanian,d wybranietz;d haban,sigmod conference,acm press frontier series,1996,1990
declustering databases on heterogeneous disk systems,using semantic values to facilitate interoperability among heterogeneous database systems,l chen;d rotem;s seshadri,e sciore;m siegel;a rosenthal,vldb,acm transactions on database systems,1995,1997.6
database techniques for the world-wide web : a survey,database techniques for the world-wide web : a survey,d florescu;a levy;a mendelzon,d florescu;a levy;a mendelzon,sigmod record,sigmod record,1998,1998
efficient materialization and use of views in data warehouses,efficient incremental view maintenance in data warehouses,m souza;m sampaio,ky lee;jh son;mh kim,sigmod record,,1999,1997.6
materialized view selection for multidimensional datasets,automated selection of materialized views and indexes for sql databases,a shukla;p deshpande;j naughton,sascv narasayya,vldb,,1998,1997.6
watermarking relational databases,incorporating computed relations in relational databases,r agrawal;j kiernan,d maier;ds warren,vldb,,2002,1997.6
unisql/x unified relational and object-oriented database system,accessing a relational database through an object-oriented database interface,w kim,j orenstein,sigmod conference,proceedings of the international conference on very large & hellip,1994,1995
dynamic maintenance of data distribution for selectivity estimation,selectivity estimation for fuzzy string predicates in large data sets,k whang;s kim;g wiederhold,l jin;c li,vldb j.,,1994,1997.6
maintaining data privacy in association rule mining,8 . shariq rizvi and jayant r. haritsa maintaining data privacy in association rule mining,s rizvi;j haritsa,s rizvi,vldb,proceedings of the 28th vldb conference;hong kong;china,2002,1997.6
information rules,mining association rules,d stirling,r agrawal;r srikant,sigmod record,proc . of the 21 stvldb conf . zurich switzerland,2003,1997.6
guest editorial,guest editor ¡¯s introduction,,f highland,,ieee expert : intelligent systems and their applications,2003,1994
an effective hash based algorithm for mining association rules,fast algorithms for mining association rules . ( 1994 ),j park;m chen;p yu,r agrawal;r srikant,sigmod conference,proceedings of vldb;international conference on very large,1995,1997.6
deeds towards a distributed and active real-time database system,design of distributd real-time systems,s andler;j hansson;j eriksson;j mellin;m berndtsson;b eftring,p verÃ£ssimo;h kopetz,sigmod record,acm press frontier series,1996,1993
analysis of navigation behaviour in web sites integrating multiple information systems,use of scale information for integrating simulation models into environmental information systems,b berendt;m spiliopoulou,t clemen,vldb j.,ecological modelling,2000,1998
wavecluster : a multi-resolution clustering approach for very large spatial databases,wavecluster : a multi-resolution clustering approach for very large spatial databases,g sheikholeslami;s chatterjee;a zhang,g sheikholeslami;s chatterjee;a zhang,vldb,vldb,1998,1998
query unnesting in object-oriented databases,design and user testing of a multi-paradigm query interface to an object-oriented database,l fegaras,dk doan;nw paton;a kilgour,sigmod conference,sigmod record,1998,1995
webfilter : a high-throughput xml-based publish and subscribe system,webfilter : a high-throughput xml-based publish and subscribe system,j pereira;f fabret;h jacobsen;f llirbat;d shasha,f fabret;h jacobsen;f llirbat;j pereira;d,vldb,vldb;rome;italy,2001,1997.6
an effective hash based algorithm for mining association rules,an effective algorithm for mining association rules in large databases,j park;m chen;p yu,a savasere;e omiecinski;s navathe,sigmod conference,proceedings of 21st international conference on very large & hellip,1995,1997.6
the wasa2 object-oriented workflow management system,the cedar database management system,g vossen;m weske,m brownÃ¢ ? Â¦,sigmod conference,proc . 1981 acmsigmod conference on management of data;ann & hellip,1999,1997.6
modelling and querying video data,modelling of audio/video data .,r hjelsvold;r midtstraum,acms anthology,vldb,,1994,1997.6
parallel mining algorithms for generalized association rules with classification hierarchy,parallel algorithms for mining generalized association rules with classification hierarchy,t shintani;m kitsuregawa,t shintani;m kitsuregawa,sigmod conference,proceedings of 1998 acm sigmod international conference on,1998,1997.6
orthogonal optimization of subqueries and aggregation,optimization and evaluation of array queries,c galindo-legaria;m joshi,r ritsch;p baumann,sigmod conference,submitted for publication,2001,1997.6
xml data management go native or spruce up relational systems ? ( panel abstract ),xml data management ( panel session ) : go native or spruce up relational systems ?,p larson,pÃ£ ? larson;d florescu;g graefe;g moerkotte;h,sigmod conference,proceedings of the 2001 acm sigmod international conference & hellip,2001,2001
e-services - guest editorial,guest editorial,,jr gruser;l raschid;v zadorozhny,,the vldb journal,2001,2000
simultaneous optimization and evaluation of multiple dimensional queries,p.;naughton;jf;shukla;a. ( 1998 ) simultaneous optimization and evaluation of multiple dimensional,y zhao;p deshpande;j naughton;a shukla,y zhao;pm deshpande,sigmod conference,proceedings of the vldb,1998,1997.6
design and implementation of a genetic-based algorithm for data mining,the design and implementation of ingres,s choenni,m stonebraker,vldb,acm transactions on database systems,2000,1976
data page layouts for relational databases on deep memory hierarchies,hierarchical schemata for relational databases,a ailamaki;d dewitt;m hill,ye lien,vldb j.,acm transactions on database systems ( tods ),2002,1981
query optimization at the crossroads ( panel ),query optimization for xml,s chaudhuri,j mchugh;j widom,sigmod conference,vldb,1997,1999
the tv-tree : an index structure for high-dimensional data,the tv-tree : an index structure forhigh-dimensional data,k lin;h jagadish;c faloutsos,ki lin;h jagadish;c faloutsos,vldb j.,the vldb journal,1994,1997.6
continuously adaptive continuous queries over streams,continuous queries over data streams,s madden;m shah;j hellerstein;v raman,s babu;j widom,sigmod conference,sigmod record,2002,2001
relational data sharing in peer-based data management systems,efficient query reformulation in peer data management systems,b ooi;y shu;k tan,i tatarinov;a halevy,sigmod record,proc . of sigmod,2003,2004
an annotated bibliography on active databases,an annotated bibliography on active databases ( short version ),u jaeger;j freytag,u jaeger;jc freytag,sigmod record,sigmod-record,1995,1995
the ores temporal database management system,buer managementin relational database systems,b theodoulidis;a ait-braham;g andrianopoulos;j chaudhary;g karvelis;s sou,gm sacco;m schkolnick,sigmod conference,acm transactions on database systems,1994,1997.6
metadata for digital media : introduction to the special issue,special issue : metadata for digital media,w klas;a sheth,w klas;a sheth,sigmod record,sigmod record,1994,1997.6
database patchwork on the internet,conferencing on the internet,r braumandl;a kemper;d kossmann,pj cordell;jm courtenay;s rudkin,sigmod conference,bt technology journal,1999,1997
engineering federated information systems : report of efis ¡¯99 workshop,a meta-model of information systems to support reverse engineering,s conrad;w hasselbring;u hohenstein;r kutsche;m roantree;g saake;f saltor,mj freeman;pj layzell,sigmod record,,1999,1997.6
a layered architecture for querying dynamic web content,a peer to peer ( p2p ) architecture for dynamic workflow management,h davulcu;j freire;m kifer;i ramakrishnan,gj fakas;b karakostas,sigmod conference,information and software technology,1999,2004
change-centric management of versions in an xml warehouse,change-centric management of versions in an xml warehouse,a marian;s abiteboul;g cobena;l mignet,g cobena;s abiteboul;a marian,vldb,,2001,2001
an overview of db2 parallel edition,an overview of evolutionary computation,c baru;g fecteau;a goyal;h hsiao;a jhingran;s padmanabhan;w wilson,wm spears;ka de jong;t baeck;db fogel,sigmod conference,lecture notes in computer science,1995,1993
query caching and optimization in distributed mediator systems,query processing and optimization in rdb,s adali;k candan;y papakonstantinou;v subrahmanian,g antoshnekov;m ziauddin,sigmod conference,vldb journal,1996,1997.6
e-services - guest editorial,editorial,,j harmer;j turnbull,,bt technology journal,2001,2002
